,SPY,GLD,IEF,IWD,QQQ,SHY,SMH,DATE,YEAR,YEAR_MONTH
2196,166.82833862304688,118.29000091552734,95.35041046142578,76.75334167480469,95.2875747680664,75.9671630859375,22.515262603759766,2016-02-18,2016,201602
2197,166.75015258789062,117.58000183105469,95.35041046142578,76.61161041259766,95.56966400146484,75.8957748413086,22.556564331054688,2016-02-19,2016,201602
2198,169.1645965576172,115.48999786376953,95.25546264648438,77.82896423339844,97.12127685546875,75.9046401977539,22.9237117767334,2016-02-22,2016,201602
2199,167.02810668945312,117.22000122070312,95.44525909423828,76.78672790527344,95.52265167236328,75.91361999511719,22.538209915161133,2016-02-23,2016,201602
2200,167.79237365722656,117.61000061035156,95.44525909423828,77.0702133178711,96.434814453125,75.93148803710938,22.827335357666016,2016-02-24,2016,201602
2201,169.8246307373047,117.91999816894531,95.73008728027344,77.99574279785156,97.38458251953125,75.94934844970703,23.093515396118164,2016-02-25,2016,201602
2202,169.43380737304688,117.11000061035156,95.26409912109375,77.9623794555664,97.26232147216797,75.85104370117188,23.22201919555664,2016-02-26,2016,201602
2203,168.1050567626953,118.63999938964844,95.41944885253906,77.28700256347656,96.38778686523438,75.8957748413086,23.144001007080078,2016-02-29,2016,201602
2204,172.05667114257812,117.7699966430664,94.673583984375,79.07136535644531,99.4815902709961,75.79474639892578,23.855348587036133,2016-03-01,2016,201603
2205,172.8296356201172,118.68000030517578,94.50941467285156,79.79679870605469,99.51921844482422,75.78582000732422,23.97925567626953,2016-03-02,2016,201603
2206,173.50701904296875,120.7300033569336,94.62175750732422,80.33878326416016,99.33112335205078,75.81262969970703,24.034332275390625,2016-03-03,2016,201603
2207,174.0715789794922,120.54000091552734,94.30199432373047,80.74732971191406,99.36875915527344,75.75900268554688,24.19036865234375,2016-03-04,2016,201603
2208,174.21051025390625,121.13999938964844,94.11186218261719,81.18094635009766,98.75750732421875,75.70538330078125,24.282154083251953,2016-03-07,2016,201603
2209,172.30850219726562,120.58000183105469,94.65631866455078,79.92189025878906,97.93939208984375,75.75900268554688,23.823219299316406,2016-03-08,2016,201603
2210,173.1596221923828,119.58000183105469,94.28472137451172,80.35546875,98.56942749023438,75.73220825195312,23.993024826049805,2016-03-09,2016,201603
2211,173.29856872558594,121.5,93.94767761230469,80.3888168334961,98.41897583007812,75.72322082519531,24.121530532836914,2016-03-10,2016,201603
2212,176.09510803222656,119.41000366210938,93.67977905273438,81.79796600341797,100.13985443115234,75.65176391601562,24.607999801635742,2016-03-11,2016,201603
2213,175.8693389892578,117.87000274658203,93.74889373779297,81.57284545898438,100.30912780761719,75.65176391601562,24.497854232788086,2016-03-14,2016,201603
2214,175.58274841308594,117.95999908447266,93.73165130615234,81.2809829711914,100.27153015136719,75.67853546142578,24.41524314880371,2016-03-15,2016,201603
2215,176.5988006591797,120.58999633789062,94.2242431640625,81.78964233398438,101.16487121582031,75.83053588867188,24.699783325195312,2016-03-16,2016,201603
2216,177.7191925048828,120.12999725341797,94.32793426513672,82.57344055175781,101.10840606689453,75.82156372070312,24.86958885192871,2016-03-17,2016,201603
2217,178.4175567626953,119.80000305175781,94.4920883178711,82.95697784423828,101.26687622070312,75.83941650390625,25.18625259399414,2016-03-18,2016,201603
2218,178.67071533203125,118.95999908447266,94.2242431640625,82.99867248535156,101.66301727294922,75.83053588867188,25.18625259399414,2016-03-21,2016,201603
2219,178.57470703125,119.30999755859375,94.02543640136719,82.86529541015625,101.9742660522461,75.78582000732422,25.172483444213867,2016-03-22,2016,201603
2220,177.39620971679688,116.61000061035156,94.45758056640625,82.17730712890625,101.13484954833984,75.83053588867188,24.874181747436523,2016-03-23,2016,201603
2221,177.3176727294922,116.33000183105469,94.36248779296875,82.08502197265625,101.16313171386719,75.79474639892578,24.832874298095703,2016-03-24,2016,201603
