,PriceTrends_2,PriceTrends_3,PriceTrends_4,PriceTrends_5,PriceTrends_6,PriceTrends_7,PriceTrends_8,PriceTrends_9,PriceTrends_Low,PriceTrends_High,PriceTrends_HL
2020-06-30,120.99090274748161,126.93466705328468,121.15635480960852,122.77858331059018,125.82611980524025,118.33352434284097,123.61253141373267,123.41388561125638,116.84599122039734,121.73178851775795,104.01301194697692
2020-07-31,122.11013943566087,127.89468461695637,122.49673565298225,124.22610838392016,127.09381059540918,119.32508722363413,124.95782854299708,124.72866257998146,118.3374156363717,122.88596514814358,103.67156736336594
2020-08-31,122.9820286555566,128.07769082843402,122.71826012353226,124.12835669207706,126.57266658233691,119.23482492112072,124.96687922684015,125.48083191521202,117.73383951876843,122.44696365115406,103.82998139386976
2020-09-30,119.46928262678517,124.55120508822348,119.11384131976375,120.78357713212615,122.9351810707417,115.82811563766013,120.97027492109953,121.3987376853895,114.77343862881287,119.10141506952652,103.60388433158218
2020-11-30,117.82378865228776,123.3167772195271,119.77870806488737,119.6513721988222,121.77463841290528,114.92097581612408,119.98806428140058,120.63063539181,113.22506985628304,117.90121786580019,103.95754151618135
2020-12-31,121.18396894268453,126.14874124590732,122.65031142427904,122.47016842751547,124.43518664608068,117.4527360491505,122.39819836697814,123.39020210003713,115.60306086782073,120.30028727326103,103.88953190958199
2021-03-31,120.32152415436815,124.99247603116972,121.74934745437736,121.93135691548508,124.41449601785617,117.40334003866255,122.46797677913128,123.93075497138659,114.43838703963837,121.04682363540537,105.58089232627816
2021-04-30,120.27485739499986,125.01496299531551,121.7991281455094,122.13818440408471,124.58076959664639,117.43022211184896,122.57356248808338,124.03181065709923,114.94640791668348,121.36471295728899,105.38946528785482
2021-06-30,121.22216240499644,125.45397582097428,122.51509023367151,122.87158424968867,125.31893976416298,117.99509723179685,123.36914509694293,124.78411575164554,115.4797807347268,121.8972431697511,105.36287168446444
2021-08-31,120.16486723616968,124.24398981118696,121.53496951180213,122.19780011830079,125.19391362565995,117.64829665328185,123.41641738618566,124.97624830370239,114.76639629486087,122.23986556118385,106.30990665495541
2021-09-30,122.02461508797431,125.9102526651968,122.66456322375996,123.5810906359951,126.58277444262657,118.97211486982906,125.35936089167193,126.27944689290666,116.42863202063619,123.66333165921408,106.00811568162418
2021-11-30,121.52767839615576,124.99946261320744,122.14811102065433,123.19504409819059,126.21992358567628,118.86009206073433,125.26914901514242,126.18886794385031,116.0562236158786,123.55209244732437,106.25183527468663
2021-12-31,126.11790374417504,129.21907064086076,125.89379571785445,127.12260572604062,129.8882638414759,122.57231264087942,128.6973675721853,129.72274591388532,120.38962200280699,126.16371810239666,104.53045624245607
2022-01-31,125.18969954605788,128.10802816432255,124.93753233028728,125.50892087344816,128.06070250854947,120.67272817885384,126.62467842574823,127.20436671809449,119.55814601532965,123.92667030641749,103.39893847663528
2022-02-28,124.57340352516175,127.80781238804026,124.47514669661632,125.22476633062955,127.37001445731482,120.56276938448526,126.44302526557671,126.95709093980139,119.28131862584091,124.10039928348256,103.78330228765473
2022-03-31,122.2341594968166,125.77005418304965,122.37884562794994,122.73811845903137,124.71165012747034,118.1839081988498,123.50292950052292,123.84308266717045,117.59465848489793,121.09067464665418,102.73383001592352
2022-05-31,121.06465276050946,124.82207709240826,120.91087134417916,121.4639935517569,123.78580485603221,116.66850331988886,121.89306304331868,122.15268245936295,116.83249123574583,119.97058590617262,102.44939172487474
2022-06-30,121.17468582107915,125.57363431826604,121.95556387275572,122.48962643188786,124.71927158117605,117.80574863729673,122.76881343784719,123.32140964317391,117.26105901901714,121.01472243070648,102.96522919956423
2022-08-31,118.74524661773644,122.59302088125843,119.63156952942352,119.70728029130184,122.12784989385969,115.22200433248761,120.0664653271043,120.63167749593318,115.59858213554193,118.24523830405047,102.0686137574456
2022-09-30,120.00122729866749,123.96417226200278,121.39250151081455,121.616723287911,123.85590190076907,116.90591469954302,121.96228115112433,122.40845809157422,116.95902619679595,120.41039702505243,102.73635235212046
2022-10-31,120.15683636677674,124.02528544038427,121.47078265664864,121.83892954401179,124.40457197087156,117.13071275514517,122.53362314576918,123.03623044089898,117.115882460901,121.39815614644252,103.4413445644059
2022-11-30,123.77810513382126,126.81237701834132,124.39033859400597,124.74057489177372,127.09932614550226,119.7677958114736,124.96368247581893,125.51736526551439,121.12901688186264,124.2805114332653,102.35279359263467
2023-01-31,123.46229744502189,126.61652893140413,124.23281624933786,124.37509666533848,127.20712300389201,119.89455938975068,124.95871896506638,125.65021425258278,120.53610732492923,124.21982305268224,102.80381548215733
2023-02-28,123.47470136742874,126.80497455974363,124.63279947548642,124.35707971208323,127.3384911075549,120.11193831051341,124.96251444017514,125.8727443049273,120.67748378725894,124.22127421883941,102.68443815436615
2023-03-31,123.63423760541046,126.9145956826107,124.57193906639677,127.59559375523948,127.08916948244244,119.78387556311858,124.82996074495122,126.21330654302332,120.56216348149027,124.61309365854838,103.10645200182766
2023-05-31,124.60655733386797,127.67489713898969,125.62759893320474,128.96068773609286,128.4435005619037,120.94757031683689,125.84872488719915,127.14575157874538,121.43905603970961,125.43588945920037,103.0373128622844
2023-06-30,125.95830557148746,128.7562557888234,126.8113748829655,130.2816308553336,129.6595123943262,121.8473298119042,126.59705433775505,127.70988658399777,122.92696821230828,126.2538604112579,102.4467742444078
2023-07-31,126.26348959690247,129.39702874403415,127.68898070633779,131.08584596916486,130.23873900109712,122.66296672758436,127.46874013012271,128.87031590391638,123.2279669569029,127.67126648433289,103.34605585851115
2023-08-31,126.36497240162524,129.53640264648976,127.88916600085636,136.0713959707678,130.36348758248224,122.68188204488348,127.29451299700094,128.43281924735473,123.81761853710789,126.9061337774817,102.23218820506416
2023-10-31,127.11400963289373,129.85449320532493,128.80231855061947,136.7272728162998,131.2851696231939,123.64212574780487,128.48507359402663,129.02877153479687,125.13158961980776,127.59492571384871,101.70215730406642
2023-11-30,125.41994815872077,128.56262303694112,127.56515422454098,135.40057103123883,130.28028594168552,122.64634442198084,127.39265026970735,128.02216623537007,124.94359987185089,126.63975248490674,101.09360771328207
