Date,us500_UH,usbond10y_UH,kodex200,kbond10y,gold_H,nasdaq100_UH,usdkrw,kbond1y,kbond3y,gold_UH
2004-06-08,2407.441629894128,6224.873391632628,7759.0,57957.074697748016,3176.10160869435,7427.951508283159,1158.5,71163.64907765378,63007.40330122254,15510.535667589947
2004-06-09,2378.8382543860844,6192.844669309189,7622.0,57468.10160597513,3130.589921677095,7277.625210651317,1155.5,71163.84675445678,63003.58764287473,15248.934118291494
2004-06-10,2398.820748633779,6219.04676482786,7439.0,57701.33875479702,3089.905368141186,7361.310418416204,1159.5,71158.13088468055,63030.33391294901,15103.106458716717
2004-06-11,2408.027089583689,6241.135983274867,7073.0,57664.715814433264,3092.2442169499905,7389.562105662389,1163.95,71158.32854615523,63044.82305221527,15172.78709797144
2004-06-14,2383.3109931534423,6210.158833249518,7010.0,57360.090412772304,3078.7559961752786,7273.855292781031,1163.5,71158.92153387362,63013.7677536944,15101.483795355784
2004-06-15,2387.7721325220823,6256.590735615182,7158.0,57190.22899223018,3073.8583163897724,7338.343376390675,1157.5,71159.11919754455,63003.95905554457,14999.945965917595
2004-06-16,2387.3531926397795,6243.774049011357,7150.0,57198.822449013176,3117.6055002635235,7342.262777494491,1157.5,71159.31686176454,63012.50829139332,15213.663448976546
2004-06-17,2392.031058127048,6280.03549684484,7243.0,57207.41719705697,3103.4608405476965,7288.184275535282,1161.5,71159.5145265336,63051.58169532457,15197.21707294552
2004-06-18,2387.259877653741,6245.3007131876575,7062.0,57038.40593743876,3125.095094398773,7263.022140466463,1157.0,71159.71219185174,63017.3142026736,15244.107807236142
2004-06-21,2379.2542126726344,6256.6697342700245,7171.0,56651.63729061286,3166.275206016127,7209.505782566153,1157.5,71160.30519110056,63011.15774839037,15452.390243550142
2004-06-22,2391.233331120501,6248.788739008721,7206.0,56748.00300742586,3172.229287609894,7316.862369506647,1157.5,71113.23358575997,63013.71242602522,15481.693256624536
2004-06-23,2413.916063857953,6262.189479617974,7104.0,56668.983119981385,3177.3791740455167,7415.786746383697,1158.5,71135.31052418923,63065.10123267613,15520.469559930863
2004-06-24,2393.880493691372,6254.414816433951,7333.0,57073.55533675452,3189.361887147311,7351.6444828196145,1152.5,71135.50812227401,63098.09576412488,15498.560305067684
2004-06-25,2374.617611864761,6238.185114148737,7477.0,57170.8732478156,3224.6563149335566,7377.303308539059,1148.75,71135.70572090769,63094.36552177231,15619.329574878624
2004-06-28,2374.207791717959,6213.8965572348925,7401.0,57269.773156301926,3228.8469688007262,7375.156386076617,1152.5,71136.29852010202,63124.72346766816,15691.429474422474
2004-06-29,2381.975334177096,6236.191082064175,7485.0,57233.865416966575,3188.9822087546704,7430.843653566098,1151.5,71179.05387295313,63139.33538561713,15484.497929003246
2004-06-30,2400.9689026950864,6287.1182247878405,7579.0,57644.5532024605,3164.792993584123,7504.583485275846,1154.5,71201.02181826252,63153.93383503897,15407.326667062634
2004-07-01,2363.535390059285,6288.371053477713,7485.0,57923.82717964728,3170.7458185006267,7357.867814020486,1152.5,71202.23098154014,63186.88177438595,15409.80992771538
2004-07-02,2361.2544499889395,6335.767439694068,7252.0,57932.30869398976,3172.2778002526934,7313.299833532009,1152.0,71202.42876551508,63183.03703944138,15410.811178849948
2004-07-05,2362.791725021485,6339.273735344952,7271.0,58032.95575899157,3201.7873910736066,7318.061096444467,1152.75,71217.87091620108,63231.61482799925,15565.033089681354
2004-07-06,2347.656481355524,6341.921400390776,7326.0,58041.42145364022,3201.7111580404858,7159.806232737993,1155.5,71218.0687436203,63246.09961164391,15602.04149521044
2004-07-07,2346.430187847276,6324.2115948287255,7305.0,57959.020861706784,3193.1966820535054,7168.482616006118,1151.5,71218.26657158902,63254.43911664414,15506.93051261886
2004-07-08,2328.096999439645,6319.699732751225,7125.0,57876.85483042919,3232.096377502084,7056.930756711749,1150.5,71218.46440010729,63256.64809265253,15682.45182918994
2004-07-09,2332.024737978607,6324.068432686737,7141.0,57885.361180175976,3267.378010745398,7094.188478683909,1149.45,71218.66222917508,63246.6148299202,15839.421622599884
2004-07-12,2329.008700286003,6320.520578425771,7133.0,57895.24721378075,3282.8138001987763,7043.042175804481,1147.45,71219.25571967558,63252.254118954406,15887.315333150418
2004-07-13,2334.738952512774,6318.004873577714,7198.0,57903.756266716,3248.183932321442,7038.420539417805,1149.45,71219.45355094147,63266.82803371785,15747.374874561814
2004-07-14,2333.7167455396466,6330.409758866457,7053.0,57776.60975779753,3240.4732619292245,6994.406057388992,1152.45,71219.65138275689,63275.25693881432,15751.24625656868
2004-07-15,2341.8881686041323,6386.4590398000255,7037.0,57920.69995105911,3245.217044965254,7063.8563027387145,1164.0,71219.84921512184,63302.08655981308,15932.650630093252
2004-07-16,2340.8906578766832,6446.267223382403,7095.0,57929.212744866,3243.532837043552,6948.05544992477,1164.45,71220.04704803631,63316.60438058798,15930.791256711012
2004-07-19,2316.939978754832,6408.48475531004,7193.0,57984.4318215643,3269.4120849795418,6929.107352537942,1157.45,71256.21431764218,63320.99422307215,15962.125128464131
2004-07-20,2352.445616945829,6384.838224864332,7067.0,58038.32724643429,3257.68502811499,7067.926646647942,1160.45,71256.41225157084,63341.65535908067,15946.348828464115
